session_uuid,item_id,qty_delta,category
03d81bfc-6406-46d2-85f7-fa1bd2ced911,560,450.0,LOOT
03d81bfc-6406-46d2-85f7-fa1bd2ced911,830,300.0,LOOT
03d81bfc-6406-46d2-85f7-fa1bd2ced911,23733,-4.5,SUPPLY
03d81bfc-6406-46d2-85f7-fa1bd2ced911,561,-41.0,SUPPLY
03d81bfc-6406-46d2-85f7-fa1bd2ced911,11232,80.0,LOOT
03d81bfc-6406-46d2-85f7-fa1bd2ced911,9243,-343.0,SUPPLY
03d81bfc-6406-46d2-85f7-fa1bd2ced911,1747,198.0,LOOT
03d81bfc-6406-46d2-85f7-fa1bd2ced911,811,180.0,LOOT
03d81bfc-6406-46d2-85f7-fa1bd2ced911,868,125.0,LOOT
03d81bfc-6406-46d2-85f7-fa1bd2ced911,13441,13.0,LOOT
03d81bfc-6406-46d2-85f7-fa1bd2ced911,2434,-21.5,SUPPLY
03d81bfc-6406-46d2-85f7-fa1bd2ced911,995,1101177.0,LOOT
03d81bfc-6406-46d2-85f7-fa1bd2ced911,13510,7.0,LOOT
03d81bfc-6406-46d2-85f7-fa1bd2ced911,2552,-1.5,SUPPLY
03d81bfc-6406-46d2-85f7-fa1bd2ced911,19582,40.0,LOOT
03d81bfc-6406-46d2-85f7-fa1bd2ced911,19677,1.0,LOOT
03d81bfc-6406-46d2-85f7-fa1bd2ced911,566,250.0,LOOT
03d81bfc-6406-46d2-85f7-fa1bd2ced911,563,225.0,LOOT
03d81bfc-6406-46d2-85f7-fa1bd2ced911,554,-205.0,SUPPLY
03d81bfc-6406-46d2-85f7-fa1bd2ced911,2503,1.0,LOOT
03d81bfc-6406-46d2-85f7-fa1bd2ced911,565,150.0,LOOT
03d81bfc-6406-46d2-85f7-fa1bd2ced911,7946,-8.0,SUPPLY
03d81bfc-6406-46d2-85f7-fa1bd2ced911,11962,-8.0,SUPPLY
03d81bfc-6406-46d2-85f7-fa1bd2ced911,892,600.0,LOOT
290bddc7-c087-434c-885d-8c2d002a06a1,560,450.0,LOOT
290bddc7-c087-434c-885d-8c2d002a06a1,830,400.0,LOOT
290bddc7-c087-434c-885d-8c2d002a06a1,23733,-5.5,SUPPLY
290bddc7-c087-434c-885d-8c2d002a06a1,561,-54.0,SUPPLY
290bddc7-c087-434c-885d-8c2d002a06a1,11232,240.0,LOOT
290bddc7-c087-434c-885d-8c2d002a06a1,9243,-434.0,SUPPLY
290bddc7-c087-434c-885d-8c2d002a06a1,1747,260.0,LOOT
290bddc7-c087-434c-885d-8c2d002a06a1,811,40.0,LOOT
290bddc7-c087-434c-885d-8c2d002a06a1,868,50.0,LOOT
290bddc7-c087-434c-885d-8c2d002a06a1,13441,6.0,LOOT
290bddc7-c087-434c-885d-8c2d002a06a1,11237,40.0,LOOT
290bddc7-c087-434c-885d-8c2d002a06a1,2434,-29.0,SUPPLY
290bddc7-c087-434c-885d-8c2d002a06a1,995,1353824.0,LOOT
290bddc7-c087-434c-885d-8c2d002a06a1,13510,2.0,LOOT
290bddc7-c087-434c-885d-8c2d002a06a1,452,6.0,LOOT
290bddc7-c087-434c-885d-8c2d002a06a1,2552,-1.75,SUPPLY
290bddc7-c087-434c-885d-8c2d002a06a1,19582,80.0,LOOT
290bddc7-c087-434c-885d-8c2d002a06a1,379,-2.0,SUPPLY
290bddc7-c087-434c-885d-8c2d002a06a1,987,1.0,LOOT
290bddc7-c087-434c-885d-8c2d002a06a1,19677,2.0,LOOT
290bddc7-c087-434c-885d-8c2d002a06a1,566,300.0,LOOT
290bddc7-c087-434c-885d-8c2d002a06a1,563,822.0,LOOT
